Cruise_Name,Station,TimePeriod,Latitude,Longitude,Ich_Haul_Fctr,Cruise_Name,Station,100000000,121050300,121050304,121060000,121060101,121060103,143130803,143150501,148010105,148010106,148010107,148010201,148010301,148010401,148010501,148010701,148041401,148041403,170024806,170025015,170070201,170070202,170080101,170200907,170201801,170201902,170203701,170280101,170282601,170340102,170400203,170440100,170440604,170460402,170511100,170570503,170570505,183010301,183010605,183012301,183012403,183020201,183020301,183021301,183030101,183050711,183050712
AL0605,73,may,40.65,-68.05,3.36,AL0605,73,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0605,81,may,41.3883,-66.5783,3.9,AL0605,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0605,83,may,41.5667,-66.5217,2.73,AL0605,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0605,98,may,41.7717,-67.5033,1.81,AL0605,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,1,,21.6,,
AL0605,101,may,42.2633,-68.31,5.72,AL0605,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0605,105,may,42.4967,-69.6567,6.57,AL0605,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
AL0605,109,may,42.8967,-68.2233,3.97,AL0605,109,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
AL0605,112,may,43.69,-66.955,3.63,AL0605,112,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0605,118,may,43.5617,-68.235,3.78,AL0605,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
AL0607,9,aug,40.1867,-71.9783,3.45,AL0607,9,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
AL0607,14,aug,38.6883,-73.5833,3.29,AL0607,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
AL0607,28,aug,37.645,-74.5483,3.37,AL0607,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,3,,,,,,,
AL0607,29,aug,37.1867,-74.9367,2.21,AL0607,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
AL0607,36,aug,36.31,-75.58,1.5,AL0607,36,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,,2,,,,,,1,,,7.5,,,,,,,,
AL0607,39,aug,37.3133,-75.2433,1.71,AL0607,39,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,3,3,,,,,,51,,4,,,,,,,,,
AL0607,57,aug,40.475,-72.685,2.62,AL0607,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,
AL0607,59,aug,40.2283,-70.9833,5.92,AL0607,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0607,64,aug,39.9817,-69.5483,6.18,AL0607,64,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,,,
AL0607,66,aug,40.65,-69.5533,2.91,AL0607,66,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
AL0607,72,aug,41.9383,-68.585,6.91,AL0607,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0607,86,aug,40.57,-67.075,4.97,AL0607,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
AL0607,89,aug,41.0317,-66.82,4.01,AL0607,89,,,,,,,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
AL0607,91,aug,41.2667,-66.5867,5.43,AL0607,91,1,,,,,,,,,,67,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
